"","Row","Sample","Anon Student Id","Problem Hierarchy","Problem Name","Problem View","Problem Start Time","Problem End Time","Latency (sec)","Steps Missing Start Times","Hints","Incorrects","Corrects","Avg Corrects","Steps","Avg Assistance Score","Correct First Attempts","Condition","KCs (Geometry)","Steps without KCs (Geometry)","KC List (Geometry)","KCs (KRE_circle_area)","Steps without KCs (KRE_circle_area)","KC List (KRE_circle_area)","KCs (Khushboo)","Steps without KCs (Khushboo)","KC List (Khushboo)","KCs (MJB-SQRECT-Merge)","Steps without KCs (MJB-SQRECT-Merge)","KC List (MJB-SQRECT-Merge)","KCs (MyKC)","Steps without KCs (MyKC)","KC List (MyKC)","KCs (NNEWWW)","Steps without KCs (NNEWWW)","KC List (NNEWWW)","KCs (New)","Steps without KCs (New)","KC List (New)","KCs (NewModel)","Steps without KCs (NewModel)","KC List (NewModel)","KCs (Single-KC)","Steps without KCs (Single-KC)","KC List (Single-KC)","KCs (Textbook)","Steps without KCs (Textbook)","KC List (Textbook)","KCs (Textbook-test)","Steps without KCs (Textbook-test)","KC List (Textbook-test)","KCs (Unique-step)","Steps without KCs (Unique-step)","KC List (Unique-step)","KCs (Zhulin_Textbook11_SquareRectMerge)","Steps without KCs (Zhulin_Textbook11_SquareRectMerge)","KC List (Zhulin_Textbook11_SquareRectMerge)","KCs (new KC model name)","Steps without KCs (new KC model name)","KC List (new KC model name)"
"224",224,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","PAINTING_THE_WALL",1,"1996-02-01 00:03:05","1996-02-01 00:04:25",80,0,0,3,9,1,9,0.333,6,0,1,0,"Geometry",2,0,"compose-by-addition, rectangle-area",2,0,"area, compose-by-addition",2,0,"compose-by-addition, sq_rect-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, square-rect-area",2,0,"compose-by-addition, square-rect-area",1,0,"Single-KC",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",9,0,14,2,0,"compose-by-addition, square-rect-area",0,9,21.8053372336103
"225",225,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","RECTANGLE_AREA",1,"1996-02-01 00:04:33","1996-02-01 00:04:33",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"rectangle-area",1,0,"area",1,0,"sq_rect-area",1,0,"rectangle-area",1,0,"rectangle-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"rectangle-area",1,0,"rectangle-area",1,0,45,1,0,"square-rect-area",1,0,21
"226",226,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","PARALLELOGRAM_AREA",1,"1996-02-01 00:04:40","1996-02-01 00:04:41",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"parallelogram-area",1,0,"area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"Single-KC",1,0,"parallelogram-area",1,0,"parallelogram-area",0,1,47.4020574053251,1,0,"parallelogram-area",1,0,19
"227",227,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","SQUARE_AREA",1,"1996-02-01 00:04:50","1996-02-01 00:04:51",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"square-area",1,0,"area",1,0,"sq_rect-area",1,0,"square-area",1,0,"square-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"square-area",1,0,"rectangle-area",0,1,24.0215145374522,1,0,"square-rect-area",1,0,21
"228",228,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","PAINTING_THE_WALL",2,"1996-02-01 00:05:26","1996-02-01 00:07:13",107,0,0,4,9,1,9,0.444,5,0,1,0,"Geometry",2,0,"compose-by-addition, rectangle-area",2,0,"area, compose-by-addition",2,0,"compose-by-addition, sq_rect-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, square-rect-area",2,0,"compose-by-addition, square-rect-area",1,0,"Single-KC",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",9,0,14,2,0,"compose-by-addition, square-rect-area",0,9,16.8845432257606
"229",229,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","BUILDING_A_SIDEWALK",2,"1996-02-01 00:07:24","1996-02-01 00:08:18",54,0,0,0,9,1,9,0,9,0,1,0,"Geometry",2,0,"compose-by-addition, rectangle-area",2,0,"area, compose-by-addition",2,0,"compose-by-addition, sq_rect-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, square-rect-area",2,0,"compose-by-addition, square-rect-area",1,0,"Single-KC",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",9,0,25,2,0,"compose-by-addition, square-rect-area",2,0,15
"230",230,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_ABCD",1,"1996-02-01 00:08:24","1996-02-01 00:08:52",28,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"231",231,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_AREA",1,"1996-02-01 00:09:30","1996-02-01 00:09:31",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,59,1,0,"trapezoid-area",1,0,22
"232",232,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_HEIGHT",1,"1996-02-01 00:09:45","1996-02-01 00:09:46",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"233",233,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_BASE",1,"1996-02-01 00:10:02","1996-02-01 00:10:03",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,8,1,0,"trapezoid-area",1,0,22
"234",234,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_ABCD",2,"1996-02-01 00:10:11","1996-02-01 00:11:04",53,0,0,2,4,1.333,3,0.667,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"235",235,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_AREA",2,"1996-02-01 00:11:14","1996-02-01 00:11:15",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,59,1,0,"trapezoid-area",1,0,22
"236",236,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_HEIGHT",2,"1996-02-01 00:11:25","1996-02-01 00:11:26",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"237",237,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_BASE",2,"1996-02-01 00:11:36","1996-02-01 00:11:36",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,8,1,0,"trapezoid-area",1,0,22
"238",238,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_ABCD",3,"1996-02-01 00:11:44","1996-02-01 00:12:32",48,0,0,2,5,1.667,3,0.667,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"239",239,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_BASE",3,"1996-02-01 00:12:42","1996-02-01 00:12:43",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,8,1,0,"trapezoid-area",1,0,22
"240",240,"All Data","Stu_3ccf65a4350752bf3a96ec95a3a90cd0","Unit Area","TRAPEZOID_ABCD",4,"1996-02-01 00:12:51","1996-02-01 00:13:33",42,0,0,2,4,1.333,3,0.667,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"241",241,"All Data","Stu_489b8bd11558dd3a455de1fe5e38faa4","Unit Area","RECTANGLE_ABCD",1,"1996-02-01 00:00:52","1996-02-01 00:01:06",14,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"rectangle-area",1,0,"area",1,0,"sq_rect-area",1,0,"rectangle-area",1,0,"rectangle-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"rectangle-area",1,0,"rectangle-area",3,0,30,1,0,"square-rect-area",1,0,21
"242",242,"All Data","Stu_489b8bd11558dd3a455de1fe5e38faa4","Unit Area","BUILDING_A_SIDEWALK",1,"1996-02-01 00:01:15","1996-02-01 00:02:20",65,0,0,0,9,1,9,0,9,0,1,0,"Geometry",2,0,"compose-by-addition, rectangle-area",2,0,"area, compose-by-addition",2,0,"compose-by-addition, sq_rect-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, square-rect-area",2,0,"compose-by-addition, square-rect-area",1,0,"Single-KC",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",9,0,25,2,0,"compose-by-addition, square-rect-area",2,0,15
"243",243,"All Data","Stu_489b8bd11558dd3a455de1fe5e38faa4","Unit Area","PARALLELOGRAM_ABDE",1,"1996-02-01 00:02:27","1996-02-01 00:02:27",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"parallelogram-area",1,0,"area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"Single-KC",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,53,1,0,"parallelogram-area",0,1,18.294506602756
"244",244,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","RECTANGLE_ABCD",1,"1996-02-01 00:00:24","1996-02-01 00:00:49",25,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"rectangle-area",1,0,"area",1,0,"sq_rect-area",1,0,"rectangle-area",1,0,"rectangle-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"rectangle-area",1,0,"rectangle-area",3,0,30,1,0,"square-rect-area",1,0,21
"245",245,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","BUILDING_A_SIDEWALK",1,"1996-02-01 00:01:01","1996-02-01 00:02:42",101,0,0,1,9,1,9,0.111,8,0,1,0,"Geometry",2,0,"compose-by-addition, rectangle-area",2,0,"area, compose-by-addition",2,0,"compose-by-addition, sq_rect-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, square-rect-area",2,0,"compose-by-addition, square-rect-area",1,0,"Single-KC",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",9,0,25,2,0,"compose-by-addition, square-rect-area",2,0,15
"246",246,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","PARALLELOGRAM_ABDE",1,"1996-02-01 00:02:53","1996-02-01 00:03:18",25,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"parallelogram-area",1,0,"area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"Single-KC",1,0,"parallelogram-area",1,0,"parallelogram-area",3,0,46,1,0,"parallelogram-area",1,1,19
"247",247,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","SQUARE_ABCD",1,"1996-02-01 00:03:25","1996-02-01 00:03:34",9,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"square-area",1,0,"area",1,0,"sq_rect-area",1,0,"square-area",1,0,"square-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"square-area",1,0,"rectangle-area",3,0,40,1,0,"square-rect-area",1,0,21
"248",248,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","PAINTING_THE_WALL",1,"1996-02-01 00:03:43","1996-02-01 00:06:47",184,0,0,3,9,1,9,0.333,6,0,1,0,"Geometry",2,0,"compose-by-addition, rectangle-area",2,0,"area, compose-by-addition",2,0,"compose-by-addition, sq_rect-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, square-rect-area",2,0,"compose-by-addition, square-rect-area",1,0,"Single-KC",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",9,0,14,2,0,"compose-by-addition, square-rect-area",0,9,21.0255368214876
"249",249,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","RECTANGLE_AREA",1,"1996-02-01 00:06:58","1996-02-01 00:06:58",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"rectangle-area",1,0,"area",1,0,"sq_rect-area",1,0,"rectangle-area",1,0,"rectangle-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"rectangle-area",1,0,"rectangle-area",1,0,45,1,0,"square-rect-area",1,0,21
"250",250,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","PAINTING_THE_WALL",2,"1996-02-01 00:07:12","1996-02-01 00:08:47",95,0,0,0,9,1,9,0,9,0,1,0,"Geometry",2,0,"compose-by-addition, rectangle-area",2,0,"area, compose-by-addition",2,0,"compose-by-addition, sq_rect-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, square-rect-area",2,0,"compose-by-addition, square-rect-area",1,0,"Single-KC",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",9,0,14,2,0,"compose-by-addition, square-rect-area",0,9,21.5003406283495
"251",251,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_ABCD",1,"1996-02-01 00:08:57","1996-02-01 00:11:23",146,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"252",252,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_AREA",1,"1996-02-01 00:12:23","1996-02-01 00:12:23",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,59,1,0,"trapezoid-area",1,0,22
"253",253,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_HEIGHT",1,"1996-02-01 00:13:01","1996-02-01 00:13:02",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"254",254,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_BASE",1,"1996-02-01 00:14:46","1996-02-01 00:14:47",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,8,1,0,"trapezoid-area",1,0,22
"255",255,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_ABCD",2,"1996-02-01 00:15:13","1996-02-01 00:17:52",159,0,0,2,6,2,3,0.667,2,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"256",256,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_AREA",2,"1996-02-01 00:20:43","1996-02-01 00:20:43",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,59,1,0,"trapezoid-area",1,0,22
"257",257,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_HEIGHT",2,"1996-02-01 00:21:06","1996-02-01 00:21:07",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"258",258,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_BASE",2,"1996-02-01 00:21:56","1996-02-01 00:21:57",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,8,1,0,"trapezoid-area",1,0,22
"259",259,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_HEIGHT",3,"1996-02-01 00:22:03","1996-02-01 00:22:04",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"260",260,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_BASE",3,"1996-02-01 00:22:54","1996-02-01 00:22:55",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,7.99999999999999,1,0,"trapezoid-area",1,0,22
"261",261,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_ABCD",3,"1996-02-01 00:23:53","1996-02-01 00:24:34",41,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"262",262,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_HEIGHT",4,"1996-02-01 00:25:33","1996-02-01 00:25:33",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"263",263,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_BASE",4,"1996-02-01 00:25:59","1996-02-01 00:25:59",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,8,1,0,"trapezoid-area",1,0,22
"264",264,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_ABCD",4,"1996-02-01 00:26:24","1996-02-01 00:27:10",46,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"265",265,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_HEIGHT",5,"1996-02-01 00:27:26","1996-02-01 00:27:26",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"266",266,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRAPEZOID_BASE",5,"1996-02-01 00:28:39","1996-02-01 00:28:39",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,7.99999999999999,1,0,"trapezoid-area",1,0,22
"267",267,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRIANGLE_ABC",1,"1996-02-01 00:30:00","1996-02-01 00:31:48",108,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",3,0,50,1,0,"triangle-area",1,0,23
"268",268,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRIANGLE_TRIANGLE",1,"1996-02-01 00:32:35","1996-02-01 00:32:35",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,60,1,0,"triangle-area",1,0,23
"269",269,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","PENTAGON",1,"1996-02-01 00:32:56","1996-02-01 00:36:14",198,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,26,1,0,"pentagon-area",1,0,20
"270",270,"All Data","Stu_4e8a5be7f2663d2ccccfb59c684d5452","Unit Area","TRIANGLE_RECTANGLE",1,"1996-02-01 00:37:45","1996-02-01 00:39:20",95,0,0,2,2,1,2,1,0,0,1,0,"Geometry",2,0,"compose-by-multiplication, triangle-area",2,0,"area, compose-by-multiplication",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",1,0,"Single-KC",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,17,2,0,"compose-by-multiplication, triangle-area",2,0,17
