"","Row","Sample","Anon Student Id","Problem Hierarchy","Problem Name","Problem View","Step Name","Step Start Time","First Transaction Time","Correct Transaction Time","Step End Time","Step Duration (sec)","Correct Step Duration (sec)","Error Step Duration (sec)","First Attempt","Incorrects","Hints","Corrects","Condition","KC (Geometry)","Opportunity (Geometry)","Predicted Error Rate (Geometry)","KC (KRE_circle_area)","Opportunity (KRE_circle_area)","Predicted Error Rate (KRE_circle_area)","KC (Khushboo)","Opportunity (Khushboo)","Predicted Error Rate (Khushboo)","KC (MJB-SQRECT-Merge)","Opportunity (MJB-SQRECT-Merge)","Predicted Error Rate (MJB-SQRECT-Merge)","KC (MyKC)","Opportunity (MyKC)","Predicted Error Rate (MyKC)","KC (NNEWWW)","Opportunity (NNEWWW)","Predicted Error Rate (NNEWWW)","KC (New)","Opportunity (New)","Predicted Error Rate (New)","KC (NewModel)","Opportunity (NewModel)","Predicted Error Rate (NewModel)","KC (Single-KC)","Opportunity (Single-KC)","Predicted Error Rate (Single-KC)","KC (Textbook)","Opportunity (Textbook)","Predicted Error Rate (Textbook)","KC (Textbook-test)","Opportunity (Textbook-test)","Predicted Error Rate (Textbook-test)","KC (Unique-step)","Opportunity (Unique-step)","Predicted Error Rate (Unique-step)","KC (Zhulin_Textbook11_SquareRectMerge)","Opportunity (Zhulin_Textbook11_SquareRectMerge)","Predicted Error Rate (Zhulin_Textbook11_SquareRectMerge)","KC (new KC model name)","Opportunity (new KC model name)","Predicted Error Rate (new KC model name)"
"190",190,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","COVERING_POOL",1,"(DIAMETER QUESTION1)","1996-02-01 00:15:33","1996-02-01 00:15:53","1996-02-01 00:15:54","1996-02-01 00:15:54",21,-11.1023884390213,21,"incorrect",1,0,1,0,"Geometry",27,0.2141,"circle-diameter",5,0.1972,"diameter",5,0.2233,"circle-diameter",5,0.1955,"circle-diameter",5,0.1965,"circle-diameter",5,0.1965,"circle-diameter",5,0.1955,"circle-diameter",5,0.1955,"Single-KC",27,0.2141,"circle-diameter",5,0.1965,"circle-diameter",5,0.1955,110,1,0.317,"circle-diameter",5,0.1955,3,5,0.1932
"191",191,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","DOG_ON_A_ROPE",1,"(AREA QUESTION1)","1996-02-01 00:16:01","1996-02-01 00:16:01","1996-02-01 00:16:01","1996-02-01 00:16:01",0,0,23.8388484611957,"correct",0,0,1,0,"Geometry",28,0.214,"circle-area",7,0.2241,"area",19,0.1987,"circle-area",7,0.2115,"circle-area",7,0.2123,"circle-area",7,0.2123,"circle-area",7,0.2115,"circle-area",7,0.2115,"Single-KC",28,0.214,"circle-area",7,0.2123,"circle-area",7,0.2115,6.00000000000004,1,0.1239,"circle-area",7,0.2115,1,7,0.2093
"192",192,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","DOG_ON_A_ROPE",1,"(CIRCUMFERENCE QUESTION1)","1996-02-01 00:16:01","1996-02-01 00:16:30","1996-02-01 00:16:30","1996-02-01 00:16:30",29,29,25.9249214650469,"correct",0,0,1,0,"Geometry",29,0.214,"circle-circumference",5,0.1569,"circumference",5,0.18,"circle-circumference",5,0.1557,"circle-circumference",5,0.1566,"circle-circumference",5,0.1566,"circle-circumference",5,0.1557,"circle-circumference",5,0.1557,"Single-KC",29,0.214,"circle-circumference",5,0.1566,"circle-circumference",5,0.1557,119,1,0.1908,"circle-circumference",5,0.1557,2,5,0.1538
"193",193,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","LAWN_SPRINKLER_2",1,"(WATERED-LAWN-AREA QUESTION1)","1996-02-01 00:17:00","1996-02-01 00:17:00","1996-02-01 00:17:00","1996-02-01 00:17:00",0,7.105427357601e-15,27.2932703526569,"correct",0,0,1,0,"Geometry",30,0.214,"circle-area",8,0.2094,"area",20,0.1983,"circle-area",8,0.2004,"circle-area",8,0.2012,"circle-area",8,0.2012,"circle-area",8,0.2004,"circle-area",8,0.2004,"Single-KC",30,0.214,"circle-area",8,0.2012,"circle-area",8,0.2004,123,1,0.165,"circle-area",8,0.2004,1,8,0.1982
"194",194,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","LAWN_SPRINKLER_2",1,"(TOTAL-LAWN-AREA QUESTION1)","1996-02-01 00:17:00","1996-02-01 00:18:15","1996-02-01 00:18:15","1996-02-01 00:18:15",75,75,27.9789464651291,"correct",0,0,1,0,"Geometry",31,0.2139,"rectangle-area",1,0.0703,"area",21,0.1979,"sq_rect-area",1,0.0645,"rectangle-area",1,0.0697,"rectangle-area",1,0.0697,"square-rect-area",1,0.0645,"square-rect-area",1,0.0645,"Single-KC",31,0.2139,"rectangle-area",1,0.0697,"rectangle-area",1,0.0645,95,1,0.1169,"square-rect-area",1,0.0645,9,0.999999999999999,0.062
"195",195,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","LAWN_SPRINKLER_2",1,"(UNWATERED-LAWN-AREA QUESTION1)","1996-02-01 00:18:15","1996-02-01 00:18:21","1996-02-01 00:18:21","1996-02-01 00:18:21",6,6,28.0170011435668,"correct",0,0,1,0,"Geometry",32,0.2139,"compose-by-addition",1,0.1781,"compose-by-addition",1,0.2105,"compose-by-addition",1,0.1755,"compose-by-addition",1,0.1764,"compose-by-addition",1,0.1764,"compose-by-addition",1,0.1755,"compose-by-addition",1,0.1755,"Single-KC",32,0.2139,"compose-by-addition",1,0.1764,"compose-by-addition",1,0.1755,52,1,0.2178,"compose-by-addition",1,0.1755,4,1,0.1913
"196",196,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_DIAMETER",1,"(RADIUS QUESTION1)","1996-02-01 00:18:36","1996-02-01 00:18:36","1996-02-01 00:18:36","1996-02-01 00:18:36",0,0,27.4424857290732,"correct",0,0,1,0,"Geometry",33,0.2138,"circle-diameter",6,0.1913,"diameter",6,0.2177,"circle-diameter",6,0.1895,"circle-diameter",6,0.1905,"circle-diameter",6,0.1905,"circle-diameter",6,0.1895,"circle-diameter",6,0.1895,"Single-KC",33,0.2138,"circle-diameter",6,0.1905,"circle-diameter",6,0.1895,90,1,0.0425,"circle-diameter",6,0.1895,3,6,0.187
"197",197,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_DIAMETER",1,"(AREA QUESTION1)","1996-02-01 00:18:36","1996-02-01 00:18:41","1996-02-01 00:18:41","1996-02-01 00:18:41",5,5,26.2904515627518,"correct",0,0,1,0,"Geometry",34,0.2138,"circle-pi",1,0.094,"area",22,0.1975,"circle-area",9,0.1897,"circle-area",9,0.1905,"circle-area",9,0.1905,"circle-area",9,0.1897,"circle-area",9,0.1897,"Single-KC",34,0.2138,"circle-area",9,0.1905,"circle-area",9,0.1897,36,1,0.0559,"circle-area",9,0.1897,1,9,0.1875
"198",198,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_DIAMETER",1,"(CIRCUMFERENCE QUESTION1)","1996-02-01 00:18:41","1996-02-01 00:19:19","1996-02-01 00:19:19","1996-02-01 00:19:19",38,38,24.5959499857058,"correct",0,0,1,0,"Geometry",35,0.2138,"circle-circumference",6,0.1485,"circumference",6,0.1712,"circle-circumference",6,0.1472,"circle-circumference",6,0.148,"circle-circumference",6,0.148,"circle-circumference",6,0.1472,"circle-circumference",6,0.1472,"Single-KC",35,0.2138,"circle-circumference",6,0.148,"circle-circumference",6,0.1472,35,1,0.0838,"circle-circumference",6,0.1472,2,6,0.1452
"199",199,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_RADIUS",1,"(DIAMETER QUESTION2)","1996-02-01 00:19:31","1996-02-01 00:19:31","1996-02-01 00:19:31","1996-02-01 00:19:31",0,0,22.3940323390385,"correct",0,0,1,0,"Geometry",36,0.2137,"circle-diameter",7,0.1855,"diameter",7,0.2122,"circle-diameter",7,0.1836,"circle-diameter",7,0.1846,"circle-diameter",7,0.1846,"circle-diameter",7,0.1836,"circle-diameter",7,0.1836,"Single-KC",36,0.2137,"circle-diameter",7,0.1846,"circle-diameter",7,0.1836,80,1,0.101,"circle-diameter",7,0.1836,3,7,0.1811
"200",200,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_RADIUS",1,"(AREA QUESTION2)","1996-02-01 00:19:31","1996-02-01 00:19:45","1996-02-01 00:19:45","1996-02-01 00:19:45",14,14,19.7197499638534,"correct",0,0,1,0,"Geometry",37,0.2137,"circle-pi",2,0.0849,"area",23,0.1971,"circle-area",10,0.1794,"circle-area",10,0.1803,"circle-area",10,0.1803,"circle-area",10,0.1794,"circle-area",10,0.1794,"Single-KC",37,0.2137,"circle-area",10,0.1803,"circle-area",10,0.1794,103,1,0.0267,"circle-area",10,0.1794,1,10,0.1773
"201",201,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_RADIUS",1,"(CIRCUMFERENCE QUESTION2)","1996-02-01 00:19:45","1996-02-01 00:19:49","1996-02-01 00:19:49","1996-02-01 00:19:49",4,4,16.6081542012536,"correct",0,0,1,0,"Geometry",38,0.2137,"circle-circumference",7,0.1404,"circumference",7,0.1629,"circle-circumference",7,0.139,"circle-circumference",7,0.1398,"circle-circumference",7,0.1398,"circle-circumference",7,0.139,"circle-circumference",7,0.139,"Single-KC",38,0.2137,"circle-circumference",7,0.1398,"circle-circumference",7,0.139,39,1,-6.93889390390723e-18,"circle-circumference",7,0.139,2,7,0.137
"202",202,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_CIRCUMFERENCE",1,"(DIAMETER QUESTION4)","1996-02-01 00:19:57","1996-02-01 00:19:57","1996-02-01 00:19:57","1996-02-01 00:19:57",0,0,13.0942963923426,"correct",0,0,1,0,"Geometry",39,0.2136,"circle-circumference",8,0.1327,"circumference",8,0.1548,"circle-circumference",8,0.1313,"circle-circumference",8,0.132,"circle-circumference",8,0.132,"circle-circumference",8,0.1313,"circle-circumference",8,0.1313,"Single-KC",39,0.2136,"circle-circumference",8,0.132,"circle-circumference",8,0.1313,13,1,0.1391,"circle-circumference",8,0.1313,2,8,0.1292
"203",203,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_CIRCUMFERENCE",1,"(RADIUS QUESTION4)","1996-02-01 00:19:57","1996-02-01 00:20:06","1996-02-01 00:20:06","1996-02-01 00:20:06",9,9,9.21322787822363,"correct",0,0,1,0,"Geometry",40,0.2136,"circle-diameter",8,0.1799,"diameter",8,0.2068,"circle-diameter",8,0.1779,"circle-diameter",8,0.1789,"circle-diameter",8,0.1789,"circle-diameter",8,0.1779,"circle-diameter",8,0.1779,"Single-KC",40,0.2136,"circle-diameter",8,0.1789,"circle-diameter",8,0.1779,87,1,0.346,"circle-diameter",8,0.1779,3,8,0.1752
"204",204,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_CIRCUMFERENCE",1,"(AREA QUESTION4)","1996-02-01 00:20:06","1996-02-01 00:20:10","1996-02-01 00:20:11","1996-02-01 00:20:11",5,16.7461869143566,5,"incorrect",1,0,1,0,"Geometry",41,0.2136,"circle-pi",3,0.0766,"area",24,0.1968,"circle-area",11,0.1696,"circle-area",11,0.1705,"circle-area",11,0.1705,"circle-area",11,0.1696,"circle-area",11,0.1696,"Single-KC",41,0.2136,"circle-area",11,0.1705,"circle-area",11,0.1696,30,1,0.2387,"circle-area",11,0.1696,1,11,0.1676
"205",205,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_AREA",1,"(RADIUS QUESTION3)","1996-02-01 00:20:17","1996-02-01 00:20:17","1996-02-01 00:20:18","1996-02-01 00:20:18",1,19.1475608608035,1,"incorrect",1,0,1,0,"Geometry",42,0.2135,"circle-area",9,0.1955,"area",25,0.1964,"circle-area",12,0.1602,"circle-area",12,0.1611,"circle-area",12,0.1611,"circle-area",12,0.1602,"circle-area",12,0.1602,"Single-KC",42,0.2135,"circle-area",12,0.1611,"circle-area",12,0.1602,118,1,0.2578,"circle-area",12,0.1602,1,12,0.1582
"206",206,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_AREA",1,"(DIAMETER QUESTION3)","1996-02-01 00:20:18","1996-02-01 00:20:33","1996-02-01 00:20:33","1996-02-01 00:20:33",15,15,-0.809981127030781,"correct",0,0,1,0,"Geometry",43,0.2135,"circle-diameter",9,0.1744,"diameter",9,0.2015,"circle-diameter",9,0.1723,"circle-diameter",9,0.1733,"circle-diameter",9,0.1733,"circle-diameter",9,0.1723,"circle-diameter",9,0.1723,"Single-KC",43,0.2135,"circle-diameter",9,0.1733,"circle-diameter",9,0.1723,93,1,0.2795,"circle-diameter",9,0.1723,3,9,0.1695
"207",207,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_AREA",1,"(CIRCUMFERENCE QUESTION3)","1996-02-01 00:20:33","1996-02-01 00:20:38","1996-02-01 00:20:38","1996-02-01 00:20:38",5,5,-0.382575895051446,"correct",0,0,1,0,"Geometry",44,0.2134,"circle-circumference",9,0.1254,"circumference",9,0.1471,"circle-circumference",9,0.1239,"circle-circumference",9,0.1246,"circle-circumference",9,0.1246,"circle-circumference",9,0.1239,"circle-circumference",9,0.1239,"Single-KC",44,0.2134,"circle-circumference",9,0.1246,"circle-circumference",9,0.1239,72,1,0.1601,"circle-circumference",9,0.1239,2,9,0.1218
"208",208,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","COVERING_POOL",2,"(RADIUS QUESTION1)","1996-02-01 00:21:00","1996-02-01 00:21:00","1996-02-01 00:21:00","1996-02-01 00:21:00",0,0,1.71964332949649,"correct",0,0,1,0,"Geometry",45,0.2134,"circle-area",10,0.1823,"area",26,0.196,"circle-area",13,0.1513,"circle-area",13,0.1521,"circle-area",13,0.1521,"circle-area",13,0.1513,"circle-area",13,0.1513,"Single-KC",45,0.2134,"circle-area",13,0.1521,"circle-area",13,0.1513,22,2,0.2741,"circle-area",13,0.1513,1,13,0.1493
"209",209,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","COVERING_POOL",2,"(DIAMETER QUESTION1)","1996-02-01 00:21:00","1996-02-01 00:21:08","1996-02-01 00:21:08","1996-02-01 00:21:08",8,8,4.93410418017152,"correct",0,0,1,0,"Geometry",46,0.2134,"circle-diameter",10,0.169,"diameter",10,0.1963,"circle-diameter",10,0.1668,"circle-diameter",10,0.1678,"circle-diameter",10,0.1678,"circle-diameter",10,0.1668,"circle-diameter",10,0.1668,"Single-KC",46,0.2134,"circle-diameter",10,0.1678,"circle-diameter",10,0.1668,110,2,0.2248,"circle-diameter",10,0.1668,3,10,0.164
"210",210,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_DIAMETER",2,"(RADIUS QUESTION1)","1996-02-01 00:21:23","1996-02-01 00:21:23","1996-02-01 00:21:23","1996-02-01 00:21:23",0,3.5527136788005e-15,8.69823429053212,"correct",0,0,1,0,"Geometry",47,0.2133,"circle-diameter",11,0.1637,"diameter",11,0.1913,"circle-diameter",11,0.1615,"circle-diameter",11,0.1625,"circle-diameter",11,0.1625,"circle-diameter",11,0.1615,"circle-diameter",11,0.1615,"Single-KC",47,0.2133,"circle-diameter",11,0.1625,"circle-diameter",11,0.1615,90,2,0.0365,"circle-diameter",11,0.1615,3,11,0.1586
"211",211,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_DIAMETER",2,"(AREA QUESTION1)","1996-02-01 00:21:23","1996-02-01 00:21:25","1996-02-01 00:21:25","1996-02-01 00:21:25",2,2,12.4494612941368,"correct",0,0,1,0,"Geometry",48,0.2133,"circle-pi",4,0.0691,"area",27,0.1956,"circle-area",14,0.1428,"circle-area",14,0.1436,"circle-area",14,0.1436,"circle-area",14,0.1428,"circle-area",14,0.1428,"Single-KC",48,0.2133,"circle-area",14,0.1436,"circle-area",14,0.1428,36,2,0.0229,"circle-area",14,0.1428,1,14,0.1408
"212",212,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","CIRCLE_DIAMETER",2,"(CIRCUMFERENCE QUESTION1)","1996-02-01 00:21:25","1996-02-01 00:21:33","1996-02-01 00:21:33","1996-02-01 00:21:33",8,8,15.625212824544,"correct",0,0,1,0,"Geometry",49,0.2133,"circle-circumference",10,0.1184,"circumference",10,0.1397,"circle-circumference",10,0.1168,"circle-circumference",10,0.1176,"circle-circumference",10,0.1176,"circle-circumference",10,0.1168,"circle-circumference",10,0.1168,"Single-KC",49,0.2133,"circle-circumference",10,0.1176,"circle-circumference",10,0.1168,35,2,0.0838,"circle-circumference",10,0.1168,2,10,0.1147
"213",213,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(SQUARE-AREA QUESTION1)","1996-02-01 00:21:37","1996-02-01 00:21:37","1996-02-01 00:21:37","1996-02-01 00:21:37",0,0,17.6629165153122,"correct",0,0,1,0,"Geometry",50,0.2132,"square-area",1,0.0437,"area",28,0.1952,"sq_rect-area",2,0.0631,"square-area",1,0.0431,"square-area",1,0.0431,"square-rect-area",2,0.0631,"square-rect-area",2,0.0631,"Single-KC",50,0.2132,"square-area",1,0.0431,"rectangle-area",2,0.0631,97,1,0.0209,"square-rect-area",2,0.0631,9,2,0.0599
"214",214,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(TROG-HEIGHT QUESTION1)","1996-02-01 00:21:37","1996-02-01 00:21:54","1996-02-01 00:21:55","1996-02-01 00:21:55",18,31.6145790778261,18,"incorrect",1,0,1,0,"Geometry",51,0.2132,"equi-tri-height?",1,0.7735,"equi-tri-height?",1,0.7947,"equi-tri-height?",1,0.7705,"equi-tri-height?",1,0.7713,"equi-tri-height?",1,0.7713,"equi-tri-height?",1,0.7705,"equi-tri-height?",1,0.7705,"Single-KC",51,0.2132,"equi-tri-height?",1,0.7713,"equi-tri-height?",1,0.7705,117,1,0.8161,"equi-tri-height?",1,0.7705,6,1,0.7689
"215",215,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(TROG-AREA QUESTION1)","1996-02-01 00:21:55","1996-02-01 00:22:48","1996-02-01 00:22:48","1996-02-01 00:22:48",53,53,16.3068489660858,"correct",0,0,1,0,"Geometry",52,0.2131,"triangle-area",1,0.1935,"area",29,0.1949,"triangle-area",1,0.1908,"triangle-area",1,0.1916,"triangle-area",1,0.1916,"triangle-area",1,0.1908,"triangle-area",1,0.1908,"Single-KC",52,0.2131,"triangle-area",1,0.1916,"triangle-area",1,0.1908,109,1,0.1447,"triangle-area",1,0.1908,11,1,0.1884
"216",216,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(SCRAP-METAL-AREA QUESTION1)","1996-02-01 00:22:48","1996-02-01 00:23:07","1996-02-01 00:23:07","1996-02-01 00:23:07",19,19,13.1856813167285,"correct",0,0,1,0,"Geometry",53,0.2131,"compose-by-addition",2,0.1781,"compose-by-addition",2,0.2105,"compose-by-addition",2,0.1755,"compose-by-addition",2,0.1764,"compose-by-addition",2,0.1764,"compose-by-addition",2,0.1755,"compose-by-addition",2,0.1755,"Single-KC",53,0.2131,"compose-by-addition",2,0.1764,"compose-by-addition",2,0.1755,7,1,0.1447,"compose-by-addition",2,0.1755,4,2,0.1913
"217",217,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(SQUARE-AREA QUESTION2)","1996-02-01 00:23:07","1996-02-01 00:23:18","1996-02-01 00:23:18","1996-02-01 00:23:18",11,11,9.47167300900697,"correct",0,0,1,0,"Geometry",54,0.2131,"square-area",2,0.0437,"area",30,0.1945,"sq_rect-area",3,0.0617,"square-area",2,0.0431,"square-area",2,0.0431,"square-rect-area",3,0.0617,"square-rect-area",3,0.0617,"Single-KC",54,0.2131,"square-area",2,0.0431,"rectangle-area",3,0.0617,73,1,0.0428,"square-rect-area",3,0.0617,9,3,0.0579
"218",218,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(TROG-HEIGHT QUESTION2)","1996-02-01 00:23:18","1996-02-01 00:23:23","1996-02-01 00:23:24","1996-02-01 00:23:24",6,43.5157087893899,6,"incorrect",1,0,1,0,"Geometry",55,0.213,"equi-tri-height?",2,0.4999,"equi-tri-height?",2,0.5359,"equi-tri-height?",2,0.4956,"equi-tri-height?",2,0.4969,"equi-tri-height?",2,0.4969,"equi-tri-height?",2,0.4956,"equi-tri-height?",2,0.4956,"Single-KC",55,0.213,"equi-tri-height?",2,0.4969,"equi-tri-height?",2,0.4956,3,1,0.4296,"equi-tri-height?",2,0.4956,6,2,0.4928
"219",219,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(TROG-AREA QUESTION2)","1996-02-01 00:23:24","1996-02-01 00:24:31","1996-02-01 00:24:31","1996-02-01 00:24:31",67,67,3.4384878248899,"correct",0,0,1,0,"Geometry",56,0.213,"triangle-area",2,0.1893,"area",31,0.1941,"triangle-area",2,0.1865,"triangle-area",2,0.1874,"triangle-area",2,0.1874,"triangle-area",2,0.1865,"triangle-area",2,0.1865,"Single-KC",56,0.213,"triangle-area",2,0.1874,"triangle-area",2,0.1865,78,1,0.2573,"triangle-area",2,0.1865,11,2,0.1842
"220",220,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(SCRAP-METAL-AREA QUESTION2)","1996-02-01 00:24:31","1996-02-01 00:25:13","1996-02-01 00:25:13","1996-02-01 00:25:13",42,42,1.78556033127262,"correct",0,0,1,0,"Geometry",57,0.213,"compose-by-addition",3,0.1781,"compose-by-addition",3,0.2105,"compose-by-addition",3,0.1755,"compose-by-addition",3,0.1764,"compose-by-addition",3,0.1764,"compose-by-addition",3,0.1755,"compose-by-addition",3,0.1755,"Single-KC",57,0.213,"compose-by-addition",3,0.1764,"compose-by-addition",3,0.1755,116,1,0.0657,"compose-by-addition",3,0.1755,4,3,0.1913
"221",221,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(TROG-HEIGHT QUESTION3)","1996-02-01 00:25:13","1996-02-01 00:25:22","1996-02-01 00:25:22","1996-02-01 00:25:22",9,9,0.872290944847524,"correct",0,0,1,0,"Geometry",58,0.2129,"equi-tri-height?",3,0.2264,"equi-tri-height?",3,0.2562,"equi-tri-height?",3,0.2234,"equi-tri-height?",3,0.2243,"equi-tri-height?",3,0.2243,"equi-tri-height?",3,0.2234,"equi-tri-height?",3,0.2234,"Single-KC",58,0.2129,"equi-tri-height?",3,0.2243,"equi-tri-height?",3,0.2234,44,1,0.1884,"equi-tri-height?",3,0.2234,6,3,0.221
"222",222,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(TROG-AREA QUESTION3)","1996-02-01 00:25:22","1996-02-01 00:25:30","1996-02-01 00:25:30","1996-02-01 00:25:30",8,8,0.529753091313988,"correct",0,0,1,0,"Geometry",59,0.2129,"triangle-area",3,0.1851,"area",32,0.1937,"triangle-area",3,0.1824,"triangle-area",3,0.1832,"triangle-area",3,0.1832,"triangle-area",3,0.1824,"triangle-area",3,0.1824,"Single-KC",59,0.2129,"triangle-area",3,0.1832,"triangle-area",3,0.1824,74,1,0.0897,"triangle-area",3,0.1824,11,3,0.1801
"223",223,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(SQUARE-AREA QUESTION3)","1996-02-01 00:25:30","1996-02-01 00:25:43","1996-02-01 00:25:43","1996-02-01 00:25:43",13,13,0.589020196371374,"correct",0,0,1,0,"Geometry",60,0.2128,"square-area",3,0.0437,"area",33,0.1934,"sq_rect-area",4,0.0604,"square-area",3,0.0431,"square-area",3,0.0431,"square-rect-area",4,0.0604,"square-rect-area",4,0.0604,"Single-KC",60,0.2128,"square-area",3,0.0431,"rectangle-area",4,0.0604,71,1,0.0428,"square-rect-area",4,0.0604,9,4,0.0559
"224",224,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","TROGS",1,"(SCRAP-METAL-AREA QUESTION3)","1996-02-01 00:25:43","1996-02-01 00:25:46","1996-02-01 00:25:46","1996-02-01 00:25:46",3,3,0.881165685719052,"correct",0,0,1,0,"Geometry",61,0.2128,"compose-by-addition",4,0.1781,"compose-by-addition",4,0.2105,"compose-by-addition",4,0.1755,"compose-by-addition",4,0.1764,"compose-by-addition",4,0.1764,"compose-by-addition",4,0.1755,"compose-by-addition",4,0.1755,"Single-KC",61,0.2128,"compose-by-addition",4,0.1764,"compose-by-addition",4,0.1755,100,1,0.0897,"compose-by-addition",4,0.1755,4,4,0.1913
"225",225,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","WATERING_VEGGIES",1,"(WATERED-AREA QUESTION1)","1996-02-01 00:26:11","1996-02-01 00:26:11","1996-02-01 00:26:11","1996-02-01 00:26:11",0,0,1.23726298505638,"correct",0,0,1,0,"Geometry",62,0.2128,"circle-area",11,0.1698,"area",34,0.193,"circle-area",15,0.1346,"circle-area",15,0.1354,"circle-area",15,0.1354,"circle-area",15,0.1346,"circle-area",15,0.1346,"Single-KC",62,0.2128,"circle-area",15,0.1354,"circle-area",15,0.1346,23,1,0.2894,"circle-area",15,0.1346,1,15,0.1328
"226",226,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","WATERING_VEGGIES",1,"(TOTAL-GARDEN QUESTION1)","1996-02-01 00:26:11","1996-02-01 00:26:21","1996-02-01 00:26:21","1996-02-01 00:26:21",10,10,1.48838552008274,"correct",0,0,1,0,"Geometry",63,0.2127,"square-area",4,0.0436,"area",35,0.1926,"sq_rect-area",5,0.059,"square-area",4,0.0431,"square-area",4,0.0431,"square-rect-area",5,0.059,"square-rect-area",5,0.059,"Single-KC",63,0.2127,"square-area",4,0.0431,"rectangle-area",5,0.059,63,1,0.141,"square-rect-area",5,0.059,9,5,0.054
"227",227,"All Data","Stu_0dc180ab4196c3c75b62bfc5e01e6ee2","Unit Area","WATERING_VEGGIES",1,"(UNWATERED-AREA QUESTION1)","1996-02-01 00:26:21","1996-02-01 00:26:32","1996-02-01 00:26:32","1996-02-01 00:26:32",11,11,1.46560671649749,"correct",0,0,1,0,"Geometry",64,0.2127,"compose-by-addition",5,0.1781,"compose-by-addition",5,0.2105,"compose-by-addition",5,0.1755,"compose-by-addition",5,0.1764,"compose-by-addition",5,0.1764,"compose-by-addition",5,0.1755,"compose-by-addition",5,0.1755,"Single-KC",64,0.2127,"compose-by-addition",5,0.1764,"compose-by-addition",5,0.1755,115,1,0.1148,"compose-by-addition",5,0.1755,4,5,0.1913
