"","ï..Row","Sample","Anon.Student.Id","Problem.Hierarchy","Problem.Name","Problem.View","Problem.Start.Time","Problem.End.Time","Latency..sec.","Steps.Missing.Start.Times","Hints","Incorrects","Corrects","Avg.Corrects","Steps","Avg.Assistance.Score","Correct.First.Attempts","Condition","KCs..Geometry.","Steps.without.KCs..Geometry.","KC.List..Geometry.","KCs..KRE_circle_area.","Steps.without.KCs..KRE_circle_area.","KC.List..KRE_circle_area.","KCs..Khushboo.","Steps.without.KCs..Khushboo.","KC.List..Khushboo.","KCs..MJB.SQRECT.Merge.","Steps.without.KCs..MJB.SQRECT.Merge.","KC.List..MJB.SQRECT.Merge.","KCs..MyKC.","Steps.without.KCs..MyKC.","KC.List..MyKC.","KCs..NNEWWW.","Steps.without.KCs..NNEWWW.","KC.List..NNEWWW.","KCs..New.","Steps.without.KCs..New.","KC.List..New.","KCs..NewModel.","Steps.without.KCs..NewModel.","KC.List..NewModel.","KCs..Single.KC.","Steps.without.KCs..Single.KC.","KC.List..Single.KC.","KCs..Textbook.","Steps.without.KCs..Textbook.","KC.List..Textbook.","KCs..Textbook.test.","Steps.without.KCs..Textbook.test.","KC.List..Textbook.test.","KCs..Unique.step.","Steps.without.KCs..Unique.step.","KC.List..Unique.step.","KCs..Zhulin_Textbook11_SquareRectMerge.","Steps.without.KCs..Zhulin_Textbook11_SquareRectMerge.","KC.List..Zhulin_Textbook11_SquareRectMerge.","KCs..new.KC.model.name.","Steps.without.KCs..new.KC.model.name.","KC.List..new.KC.model.name."
"134",134,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","PENTAGON_ABCDE",2,"2/1/1996 0:30","2/1/1996 0:32",116,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,"KC10, KC112, KC25",1,0,"pentagon-area",1,0,"pentagon-area"
"136",136,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","PENTAGON_ABCDE",3,"2/1/1996 0:34","2/1/1996 0:35",62,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,"KC10, KC112, KC25",1,0,"pentagon-area",1,0,"pentagon-area"
"137",137,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","PENTAGON",3,"2/1/1996 0:35","2/1/1996 0:35",35,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,"KC116, KC131, KC49",1,0,"pentagon-area",1,0,"pentagon-area"
"141",141,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","LAWN_SPRINKLER",1,"2/1/1996 0:42","2/1/1996 0:42",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"circle-area",1,0,"area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"Single-KC",1,0,"circle-area",1,0,"circle-area",1,0,"KC52",1,0,"circle-area",1,0,"circle-area"
"142",142,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","COVERING_POOL",1,"2/1/1996 0:42","2/1/1996 0:42",27,0,0,0,2,1,2,0,2,0,1,0,"Geometry",2,0,"circle-area, circle-diameter",2,0,"area, diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",1,0,"Single-KC",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"KC118, KC79",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter"
"143",143,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","DOG_ON_A_ROPE",1,"2/1/1996 0:42","2/1/1996 0:43",38,0,0,0,2,1,2,0,2,0,1,0,"Geometry",2,0,"circle-area, circle-circumference",2,0,"area, circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",1,0,"Single-KC",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"KC103, KC87",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference"
"144",144,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","LAWN_SPRINKLER_2",1,"2/1/1996 0:43","2/1/1996 0:44",53,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-area, compose-by-addition, rectangle-area",2,0,"area, compose-by-addition",3,0,"circle-area, compose-by-addition, sq_rect-area",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,"circle-area, compose-by-addition, square-rect-area",3,0,"circle-area, compose-by-addition, square-rect-area",1,0,"Single-KC",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,"KC26, KC65, KC90",3,0,"circle-area, compose-by-addition, square-rect-area",3,0,"circle-area, compose-by-addition, square-rect-area"
"146",146,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","WATERING_VEGGIES",1,"2/1/1996 0:49","2/1/1996 0:49",20,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-area, compose-by-addition, square-area",2,0,"area, compose-by-addition",3,0,"circle-area, compose-by-addition, sq_rect-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-rect-area",3,0,"circle-area, compose-by-addition, square-rect-area",1,0,"Single-KC",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,"KC119, KC36, KC83",3,0,"circle-area, compose-by-addition, square-rect-area",3,0,"circle-area, compose-by-addition, square-rect-area"
"147",147,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","POGS",1,"2/1/1996 0:50","2/1/1996 0:50",35,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"Single-KC",1,0,"compose-by-addition",1,0,"compose-by-addition",3,0,"KC33, KC77, KC94",1,0,"compose-by-addition",1,0,"compose-by-addition"
"148",148,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","ONE_CIRCLE_IN_SQUARE",1,"2/1/1996 0:51","2/1/1996 0:51",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"Single-KC",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"KC20",1,0,"compose-by-addition",1,0,"compose-by-addition"
"149",149,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","TWO_CIRCLES_IN_CIRCLE",1,"2/1/1996 0:51","2/1/1996 0:53",77,0,0,1,2,1,2,0.5,1,0,1,0,"Geometry",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"Single-KC",1,0,"compose-by-addition",1,0,"compose-by-addition",2,0,"KC129, KC32",1,0,"compose-by-addition",1,0,"compose-by-addition"
"150",150,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","TWO_CIRCLES_IN_SQUARE",1,"2/1/1996 0:56","2/1/1996 0:56",30,0,0,1,2,1,2,0.5,1,0,1,0,"Geometry",2,0,"compose-by-addition, compose-by-multiplication",2,0,"compose-by-addition, compose-by-multiplication",2,0,"compose-by-addition, compose-by-multiplication",2,0,"compose-by-addition, compose-by-multiplication",2,0,"compose-by-addition, compose-by-multiplication",2,0,"compose-by-addition, compose-by-multiplication",2,0,"compose-by-addition, compose-by-multiplication",1,0,"Single-KC",2,0,"compose-by-addition, compose-by-multiplication",2,0,"compose-by-addition, compose-by-multiplication",2,0,"KC111, KC96",2,0,"compose-by-addition, compose-by-multiplication",2,0,"compose-by-addition, compose-by-multiplication"
"151",151,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","CIRCLE_DIAMETER",1,"2/1/1996 0:59","2/1/1996 0:59",26,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"KC13, KC130, KC60",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter"
"152",152,"All Data","Stu_1b394ff128c045b7d4ad4f6e83933b72","Unit Area","POGS",2,"2/1/1996 1:00","2/1/1996 1:00",35,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"Single-KC",1,0,"compose-by-addition",1,0,"compose-by-addition",3,0,"KC33, KC77, KC94",1,0,"compose-by-addition",1,0,"compose-by-addition"
"154",154,"All Data","Stu_1d6b91d4b593d7e4f5622275b3295663","Unit Area","PENTAGON_ABCDE",1,"2/1/1996 0:04","2/1/1996 0:04",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"KC112",1,0,"pentagon-area",1,0,"pentagon-area"
"155",155,"All Data","Stu_1d6b91d4b593d7e4f5622275b3295663","Unit Area","TRIANGLE_RECTANGLE",1,"2/1/1996 0:05","2/1/1996 0:06",82,0,0,0,2,1,2,0,2,0,1,0,"Geometry",2,0,"compose-by-multiplication, triangle-area",2,0,"area, compose-by-multiplication",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",1,0,"Single-KC",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"KC110, KC42",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area"
"157",157,"All Data","Stu_1d6b91d4b593d7e4f5622275b3295663","Unit Area","CIRCLE_CIRCUMFERENCE",1,"2/1/1996 0:08","2/1/1996 0:09",57,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"KC11, KC125, KC58",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter"
"158",158,"All Data","Stu_1d6b91d4b593d7e4f5622275b3295663","Unit Area","CIRCLE_O",1,"2/1/1996 0:09","2/1/1996 0:10",93,0,0,3,12,1,12,0.25,9,0,1,0,"Geometry",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",12,0,"KC107, KC117, KC120, KC123, KC15, KC31, KC4, KC70, KC71, KC74, KC82, KC93",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter"
"159",159,"All Data","Stu_1d6b91d4b593d7e4f5622275b3295663","Unit Area","COVERING_POOL",1,"2/1/1996 0:11","2/1/1996 0:11",4,0,0,1,2,1,2,0.5,1,0,1,0,"Geometry",2,0,"circle-area, circle-diameter",2,0,"area, diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",1,0,"Single-KC",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"KC118, KC79",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter"
"160",160,"All Data","Stu_1d6b91d4b593d7e4f5622275b3295663","Unit Area","CIRCLE_DIAMETER",1,"2/1/1996 0:11","2/1/1996 0:11",10,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"KC13, KC130, KC60",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter"
"161",161,"All Data","Stu_1d6b91d4b593d7e4f5622275b3295663","Unit Area","CIRCLE_AREA",2,"2/1/1996 0:11","2/1/1996 0:12",39,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"KC44, KC63, KC86",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter"
"162",162,"All Data","Stu_1d6b91d4b593d7e4f5622275b3295663","Unit Area","CIRCLE_CIRCUMFERENCE",2,"2/1/1996 0:12","2/1/1996 0:12",10,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"KC11, KC125, KC58",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter"
"164",164,"All Data","Stu_1d6b91d4b593d7e4f5622275b3295663","Unit Area","COVERING_POOL",2,"2/1/1996 0:14","2/1/1996 0:15",19,0,0,0,2,1,2,0,2,0,1,0,"Geometry",2,0,"circle-area, circle-diameter",2,0,"area, diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",1,0,"Single-KC",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"KC118, KC79",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter"
"165",165,"All Data","Stu_1d8cd1d1ea2c887618aa21a4b650b4ba","Unit Area","RECTANGLE_ABCD",1,"2/1/1996 0:00","2/1/1996 0:02",117,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"rectangle-area",1,0,"area",1,0,"sq_rect-area",1,0,"rectangle-area",1,0,"rectangle-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"rectangle-area",1,0,"rectangle-area",3,0,"KC12, KC16, KC69",1,0,"square-rect-area",1,0,"square-rect-area"
"168",168,"All Data","Stu_1d8cd1d1ea2c887618aa21a4b650b4ba","Unit Area","SQUARE_ABCD",1,"2/1/1996 0:06","2/1/1996 0:06",15,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"square-area",1,0,"area",1,0,"sq_rect-area",1,0,"square-area",1,0,"square-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"square-area",1,0,"rectangle-area",3,0,"KC17, KC24, KC75",1,0,"square-rect-area",1,0,"square-rect-area"
"170",170,"All Data","Stu_2183634602adb40f1a7de7b09ded0c02","Unit Area","RECTANGLE_ABCD",1,"2/1/1996 0:00","2/1/1996 0:00",33,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"rectangle-area",1,0,"area",1,0,"sq_rect-area",1,0,"rectangle-area",1,0,"rectangle-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"rectangle-area",1,0,"rectangle-area",3,0,"KC12, KC16, KC69",1,0,"square-rect-area",1,0,"square-rect-area"
"171",171,"All Data","Stu_2183634602adb40f1a7de7b09ded0c02","Unit Area","BUILDING_A_SIDEWALK",1,"2/1/1996 0:01","2/1/1996 0:01",54,0,0,0,9,1,9,0,9,0,1,0,"Geometry",2,0,"compose-by-addition, rectangle-area",2,0,"area, compose-by-addition",2,0,"compose-by-addition, sq_rect-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, square-rect-area",2,0,"compose-by-addition, square-rect-area",1,0,"Single-KC",2,0,"compose-by-addition, rectangle-area",2,0,"compose-by-addition, rectangle-area",9,0,"KC113, KC127, KC128, KC39, KC53, KC62, KC8, KC9, KC95",2,0,"compose-by-addition, square-rect-area",2,0,"compose-by-addition, square-rect-area"
"172",172,"All Data","Stu_2183634602adb40f1a7de7b09ded0c02","Unit Area","PARALLELOGRAM_ABDE",1,"2/1/1996 0:02","2/1/1996 0:02",17,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"parallelogram-area",1,0,"area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"Single-KC",1,0,"parallelogram-area",1,0,"parallelogram-area",3,0,"KC22, KC35, KC92",1,0,"parallelogram-area",1,1,"parallelogram-area"
"173",173,"All Data","Stu_2183634602adb40f1a7de7b09ded0c02","Unit Area","SQUARE_ABCD",1,"2/1/1996 0:02","2/1/1996 0:02",19,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"square-area",1,0,"area",1,0,"sq_rect-area",1,0,"square-area",1,0,"square-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"square-area",1,0,"rectangle-area",3,0,"KC17, KC24, KC75",1,0,"square-rect-area",1,0,"square-rect-area"
"175",175,"All Data","Stu_2183634602adb40f1a7de7b09ded0c02","Unit Area","TRAPEZOID_ABCD",1,"2/1/1996 0:09","2/1/1996 0:14",311,0,0,3,5,1.667,3,1,2,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,"KC101, KC34, KC73",1,0,"trapezoid-area",1,0,"trapezoid-area"
"176",176,"All Data","Stu_2183634602adb40f1a7de7b09ded0c02","Unit Area","TRAPEZOID_AREA",1,"2/1/1996 0:17","2/1/1996 0:17",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC47",1,0,"trapezoid-area",1,0,"trapezoid-area"
"178",178,"All Data","Stu_21b2fcd580ae27d8b9a7a067d10825d0","Unit Area","TRAPEZOID_ABCD",1,"2/1/1996 0:03","2/1/1996 0:03",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC73",1,0,"trapezoid-area",1,0,"trapezoid-area"
"179",179,"All Data","Stu_25aa8cd8adadaf6090f8179c269e9e90","Unit Area","TRAPEZOID_ABCD",1,"2/1/1996 0:00","2/1/1996 0:04",244,0,0,2,6,2,3,0.667,2,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,"KC101, KC34, KC73",1,0,"trapezoid-area",1,0,"trapezoid-area"
"180",180,"All Data","Stu_29b77c61d740f26435156f56b2c5202f","Unit Area","TRIANGLE_ABC",1,"2/1/1996 0:00","2/1/1996 0:01",41,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",3,0,"KC3, KC89, KC98",1,0,"triangle-area",1,0,"triangle-area"
"181",181,"All Data","Stu_29b77c61d740f26435156f56b2c5202f","Unit Area","TRIANGLE_TRIANGLE",1,"2/1/1996 0:02","2/1/1996 0:02",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,"KC48",1,0,"triangle-area",1,0,"triangle-area"
"182",182,"All Data","Stu_29b77c61d740f26435156f56b2c5202f","Unit Area","PENTAGON",1,"2/1/1996 0:02","2/1/1996 0:04",96,0,0,2,2,1,2,1,0,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",2,0,"KC116, KC49",1,0,"pentagon-area",1,0,"pentagon-area"
"183",183,"All Data","Stu_2a3d5ccedbbe6952c9dc8c5656638d4f","Unit Area","RECTANGLE_ABCD",1,"2/1/1996 0:00","2/1/1996 0:01",27,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"rectangle-area",1,0,"area",1,0,"sq_rect-area",1,0,"rectangle-area",1,0,"rectangle-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"rectangle-area",1,0,"rectangle-area",3,0,"KC12, KC16, KC69",1,0,"square-rect-area",1,0,"square-rect-area"
"184",184,"All Data","Stu_2a3d5ccedbbe6952c9dc8c5656638d4f","Unit Area","BUILDING_A_SIDEWALK",1,"2/1/1996 0:01","2/1/1996 0:02",29,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"rectangle-area",1,0,"area",1,0,"sq_rect-area",1,0,"rectangle-area",1,0,"rectangle-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"rectangle-area",1,0,"rectangle-area",3,0,"KC39, KC9, KC95",1,0,"square-rect-area",1,0,"square-rect-area"
"185",185,"All Data","Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3","Unit Area","RECTANGLE_ABCD",1,"2/1/1996 0:00","2/1/1996 0:00",31,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"rectangle-area",1,0,"area",1,0,"sq_rect-area",1,0,"rectangle-area",1,0,"rectangle-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"rectangle-area",1,0,"rectangle-area",3,0,"KC12, KC16, KC69",1,0,"square-rect-area",1,0,"square-rect-area"
"187",187,"All Data","Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3","Unit Area","PARALLELOGRAM_ABDE",1,"2/1/1996 0:04","2/1/1996 0:04",17,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"parallelogram-area",1,0,"area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"parallelogram-area",1,0,"Single-KC",1,0,"parallelogram-area",1,0,"parallelogram-area",3,0,"KC22, KC35, KC92",1,0,"parallelogram-area",1,1,"parallelogram-area"
"188",188,"All Data","Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3","Unit Area","SQUARE_ABCD",1,"2/1/1996 0:04","2/1/1996 0:04",7,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"square-area",1,0,"area",1,0,"sq_rect-area",1,0,"square-area",1,0,"square-area",1,0,"square-rect-area",1,0,"square-rect-area",1,0,"Single-KC",1,0,"square-area",1,0,"rectangle-area",3,0,"KC17, KC24, KC75",1,0,"square-rect-area",1,0,"square-rect-area"
"190",190,"All Data","Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3","Unit Area","TRAPEZOID_ABCD",1,"2/1/1996 0:05","2/1/1996 0:06",65,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,"KC101, KC34, KC73",1,0,"trapezoid-area",1,0,"trapezoid-area"
"191",191,"All Data","Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3","Unit Area","TRAPEZOID_AREA",1,"2/1/1996 0:07","2/1/1996 0:07",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC47",1,0,"trapezoid-area",1,0,"trapezoid-area"
